Reksa Dana;Bulan;Y;X1;X2
Reksa Dana Bahana Dana Ekuitas Prima;Agustus 2016;0,021280;0,028173;1
Reksa Dana Bahana Dana Ekuitas Prima;September 2016;-0,020333;-0,008357;0
Reksa Dana Bahana Dana Ekuitas Prima;Oktober 2016;0,006674;0,006342;1
Reksa Dana Bahana Dana Ekuitas Prima;November 2016;-0,070712;-0,054882;0
Reksa Dana Bahana Dana Ekuitas Prima;Desember 2016;0,022207;0,024284;1
Reksa Dana Bahana Dana Ekuitas Prima;Januari 2017;-0,014715;-0,004914;0
Reksa Dana Bahana Dana Ekuitas Prima;Februari 2017;0,010865;0,013068;1
Reksa Dana Bahana Dana Ekuitas Prima;Maret 2017;0,017019;0,029258;1
Reksa Dana Bahana Dana Ekuitas Prima;April 2017;0,013389;0,016626;1
Reksa Dana Bahana Dana Ekuitas Prima;Mei 2017;-0,000667;0,004875;1
Reksa Dana Bahana Dana Ekuitas Prima;Juni 2017;0,011900;0,011536;1
Reksa Dana Bahana Dana Ekuitas Prima;Juli 2017;0,000845;-0,002494;0
Reksa Dana Bahana Dana Ekuitas Prima;Agustus 2017;-0,007413;-0,000463;0
Reksa Dana Bahana Dana Ekuitas Prima;September 2017;-0,019318;0,001853;1
Reksa Dana Bahana Dana Ekuitas Prima;Oktober 2017;0,011273;0,013361;1
Reksa Dana Bahana Dana Ekuitas Prima;November 2017;-0,014933;-0,013352;0
Reksa Dana Bahana Dana Ekuitas Prima;Desember 2017;0,060936;0,063372;1
Reksa Dana Bahana Dana Ekuitas Prima;Januari 2018;0,021974;0,034911;1
Reksa Dana Bahana Dana Ekuitas Prima;Februari 2018;-0,009440;-0,005694;0
Reksa Dana Bahana Dana Ekuitas Prima;Maret 2018;-0,086262;-0,066300;0
Reksa Dana Bahana Dana Ekuitas Prima;April 2018;-0,049186;-0,035830;0
Reksa Dana Bahana Dana Ekuitas Prima;Mei 2018;-0,010543;-0,006257;0
Reksa Dana Bahana Dana Ekuitas Prima;Juni 2018;-0,051618;-0,035230;0
Reksa Dana Bahana Dana Ekuitas Prima;Juli 2018;0,021585;0,019237;1
Reksa Dana Bahana Dana Ekuitas Prima;Agustus 2018;0,011612;0,009396;1
Reksa Dana Bahana Dana Ekuitas Prima;September 2018;-0,005852;-0,011384;0
Reksa Dana Bahana Dana Ekuitas Prima;Oktober 2018;-0,023388;-0,028666;0
Reksa Dana Bahana Dana Ekuitas Prima;November 2018;0,038624;0,034071;1
Reksa Dana Bahana Dana Ekuitas Prima;Desember 2018;0,001523;0,018429;1
Reksa Dana Bahana Dana Ekuitas Prima;Januari 2019;0,043095;0,050220;1
Reksa Dana Bahana Dana Ekuitas Prima;Februari 2019;-0,040879;-0,018139;0
Reksa Dana Bahana Dana Ekuitas Prima;Maret 2019;0,006052;-0,000477;0
Reksa Dana Bahana Dana Ekuitas Prima;April 2019;-0,010619;-0,006494;0
Reksa Dana Bahana Dana Ekuitas Prima;Mei 2019;-0,029747;-0,042564;0
Reksa Dana Bahana Dana Ekuitas Prima;Juni 2019;0,024329;0,019658;1
Reksa Dana Bahana Dana Ekuitas Prima;Juli 2019;-0,007912;0,000593;1
Reksa Dana Bahana Dana Ekuitas Prima;Agustus 2019;-0,033961;-0,014129;0
Reksa Dana Bahana Dana Ekuitas Prima;September 2019;-0,042707;-0,029604;0
Reksa Dana Bahana Dana Ekuitas Prima;Oktober 2019;-0,000985;0,005179;1
Reksa Dana Bahana Dana Ekuitas Prima;November 2019;-0,043097;-0,039180;0
Reksa Dana Bahana Dana Ekuitas Prima;Desember 2019;0,042006;0,043436;1
Reksa Dana Bahana Dana Ekuitas Prima;Januari 2020;-0,052834;-0,061487;0
Reksa Dana Bahana Dana Ekuitas Prima;Februari 2020;-0,079258;-0,086466;0
Reksa Dana Bahana Dana Prima;Januari 2016;0,007540;0,000402;1
Reksa Dana Bahana Dana Prima;Februari 2016;0,022464;0,029337;1
Reksa Dana Bahana Dana Prima;Maret 2016;0,018747;0,011176;1
Reksa Dana Bahana Dana Prima;April 2016;-0,012234;-0,005822;0
Reksa Dana Bahana Dana Prima;Mei 2016;-0,007618;-0,013041;0
Reksa Dana Bahana Dana Prima;Juni 2016;0,048862;0,041397;1
Reksa Dana Bahana Dana Prima;Juli 2016;0,046442;0,035315;1
Reksa Dana Bahana Dana Prima;Agustus 2016;0,008393;0,028173;1
Reksa Dana Bahana Dana Prima;September 2016;-0,017249;-0,008357;0
Reksa Dana Bahana Dana Prima;Oktober 2016;0,010988;0,006342;1
Reksa Dana Bahana Dana Prima;November 2016;-0,077649;-0,054882;0
Reksa Dana Bahana Dana Prima;Desember 2016;0,021555;0,024284;1
Reksa Dana Bahana Dana Prima;Januari 2017;-0,011165;-0,004914;0
Reksa Dana Bahana Dana Prima;Februari 2017;0,015371;0,013068;1
Reksa Dana Bahana Dana Prima;Maret 2017;0,023118;0,029258;1
Reksa Dana Bahana Dana Prima;April 2017;0,017136;0,016626;1
Reksa Dana Bahana Dana Prima;Mei 2017;0,007121;0,004875;1
Reksa Dana Bahana Dana Prima;Juni 2017;0,009081;0,011536;1
Reksa Dana Bahana Dana Prima;Juli 2017;0,002315;-0,002494;0
Reksa Dana Bahana Dana Prima;Agustus 2017;-0,007329;-0,000463;0
Reksa Dana Bahana Dana Prima;September 2017;-0,005970;0,001853;1
Reksa Dana Bahana Dana Prima;Oktober 2017;0,005573;0,013361;1
Reksa Dana Bahana Dana Prima;November 2017;-0,007483;-0,013352;0
Reksa Dana Bahana Dana Prima;Desember 2017;0,065892;0,063372;1
Reksa Dana Bahana Dana Prima;Januari 2018;0,022285;0,034911;1
Reksa Dana Bahana Dana Prima;Februari 2018;-0,011732;-0,005694;0
Reksa Dana Bahana Dana Prima;Maret 2018;-0,078210;-0,066300;0
Reksa Dana Bahana Dana Prima;April 2018;-0,046528;-0,035830;0
Reksa Dana Bahana Dana Prima;Mei 2018;0,000383;-0,006257;0
Reksa Dana Bahana Dana Prima;Juni 2018;-0,056273;-0,035230;0
Reksa Dana Bahana Dana Prima;Juli 2018;0,024233;0,019237;1
Reksa Dana Bahana Dana Prima;Agustus 2018;-0,001842;0,009396;1
Reksa Dana Bahana Dana Prima;September 2018;-0,016230;-0,011384;0
Reksa Dana Bahana Dana Prima;Oktober 2018;-0,030330;-0,028666;0
Reksa Dana Bahana Dana Prima;November 2018;0,033737;0,034071;1
Reksa Dana Bahana Dana Prima;Desember 2018;0,007796;0,018429;1
Reksa Dana Bahana Dana Prima;Januari 2019;0,046387;0,050220;1
Reksa Dana Bahana Dana Prima;Februari 2019;-0,036173;-0,018139;0
Reksa Dana Bahana Dana Prima;Maret 2019;0,004883;-0,000477;0
Reksa Dana Bahana Dana Prima;April 2019;-0,002989;-0,006494;0
Reksa Dana Bahana Dana Prima;Mei 2019;-0,031222;-0,042564;0
Reksa Dana Bahana Dana Prima;Juni 2019;0,029665;0,019658;1
Reksa Dana Bahana Dana Prima;Juli 2019;-0,010654;0,000593;1
Reksa Dana Bahana Dana Prima;Agustus 2019;-0,035636;-0,014129;0
Reksa Dana Bahana Dana Prima;September 2019;-0,046361;-0,029604;0
Reksa Dana Bahana Dana Prima;Oktober 2019;-0,001679;0,005179;1
Reksa Dana Bahana Dana Prima;November 2019;-0,048476;-0,039180;0
Reksa Dana Bahana Dana Prima;Desember 2019;0,048795;0,043436;1
Reksa Dana Bahana Dana Prima;Januari 2020;-0,057220;-0,061487;0
Reksa Dana Bahana Dana Prima;Februari 2020;-0,085709;-0,086466;0
Reksa Dana Bahana Trailblazer Fund;Januari 2016;-0,003299;0,000402;1
Reksa Dana Bahana Trailblazer Fund;Februari 2016;0,026050;0,029337;1
Reksa Dana Bahana Trailblazer Fund;Maret 2016;0,023991;0,011176;1
Reksa Dana Bahana Trailblazer Fund;April 2016;-0,007197;-0,005822;0
Reksa Dana Bahana Trailblazer Fund;Mei 2016;-0,002356;-0,013041;0
Reksa Dana Bahana Trailblazer Fund;Juni 2016;0,045323;0,041397;1
Reksa Dana Bahana Trailblazer Fund;Juli 2016;0,035707;0,035315;1
Reksa Dana Bahana Trailblazer Fund;Agustus 2016;0,001424;0,028173;1
Reksa Dana Bahana Trailblazer Fund;September 2016;-0,018086;-0,008357;0
Reksa Dana Bahana Trailblazer Fund;Oktober 2016;0,013411;0,006342;1
Reksa Dana Bahana Trailblazer Fund;November 2016;-0,075853;-0,054882;0
Reksa Dana Bahana Trailblazer Fund;Desember 2016;0,014608;0,024284;1
Reksa Dana Bahana Trailblazer Fund;Januari 2017;-0,009884;-0,004914;0
Reksa Dana Bahana Trailblazer Fund;Februari 2017;0,023698;0,013068;1
Reksa Dana Bahana Trailblazer Fund;Maret 2017;0,023066;0,029258;1
Reksa Dana Bahana Trailblazer Fund;April 2017;0,015669;0,016626;1
Reksa Dana Bahana Trailblazer Fund;Mei 2017;0,008558;0,004875;1
Reksa Dana Bahana Trailblazer Fund;Juni 2017;0,009417;0,011536;1
Reksa Dana Bahana Trailblazer Fund;Juli 2017;-0,001045;-0,002494;0
Reksa Dana Bahana Trailblazer Fund;Agustus 2017;0,000393;-0,000463;0
Reksa Dana Bahana Trailblazer Fund;September 2017;-0,006629;0,001853;1
Reksa Dana Bahana Trailblazer Fund;Oktober 2017;0,004903;0,013361;1
Reksa Dana Bahana Trailblazer Fund;November 2017;-0,009244;-0,013352;0
Reksa Dana Bahana Trailblazer Fund;Desember 2017;0,061504;0,063372;1
Reksa Dana Bahana Trailblazer Fund;Januari 2018;0,032772;0,034911;1
Reksa Dana Bahana Trailblazer Fund;Februari 2018;-0,008126;-0,005694;0
Reksa Dana Bahana Trailblazer Fund;Maret 2018;-0,085773;-0,066300;0
Reksa Dana Bahana Trailblazer Fund;April 2018;-0,042594;-0,035830;0
Reksa Dana Bahana Trailblazer Fund;Mei 2018;0,005133;-0,006257;0
Reksa Dana Bahana Trailblazer Fund;Juni 2018;-0,044444;-0,035230;0
Reksa Dana Bahana Trailblazer Fund;Juli 2018;0,026277;0,019237;1
Reksa Dana Bahana Trailblazer Fund;Agustus 2018;-0,005848;0,009396;1
Reksa Dana Bahana Trailblazer Fund;September 2018;-0,012216;-0,011384;0
Reksa Dana Bahana Trailblazer Fund;Oktober 2018;-0,036482;-0,028666;0
Reksa Dana Bahana Trailblazer Fund;November 2018;0,026130;0,034071;1
Reksa Dana Bahana Trailblazer Fund;Desember 2018;0,010830;0,018429;1
Reksa Dana Bahana Trailblazer Fund;Januari 2019;0,037620;0,050220;1
Reksa Dana Bahana Trailblazer Fund;Februari 2019;-0,036750;-0,018139;0
Reksa Dana Bahana Trailblazer Fund;Maret 2019;0,000402;-0,000477;0
Reksa Dana Bahana Trailblazer Fund;April 2019;-0,005441;-0,006494;0
Reksa Dana Bahana Trailblazer Fund;Mei 2019;-0,030283;-0,042564;0
Reksa Dana Bahana Trailblazer Fund;Juni 2019;0,024289;0,019658;1
Reksa Dana Bahana Trailblazer Fund;Juli 2019;-0,003302;0,000593;1
Reksa Dana Bahana Trailblazer Fund;Agustus 2019;-0,030681;-0,014129;0
Reksa Dana Bahana Trailblazer Fund;September 2019;-0,049853;-0,029604;0
Reksa Dana Bahana Trailblazer Fund;Oktober 2019;-0,002454;0,005179;1
Reksa Dana Bahana Trailblazer Fund;November 2019;-0,055385;-0,039180;0
Reksa Dana Bahana Trailblazer Fund;Desember 2019;0,054290;0,043436;1
Reksa Dana Bahana Trailblazer Fund;Januari 2020;-0,063247;-0,061487;0
Reksa Dana Bahana Trailblazer Fund;Februari 2020;-0,075448;-0,086466;0
Reksa Dana Batavia Dana Saham;Januari 2016;0,015297;0,000402;1
Reksa Dana Batavia Dana Saham;Februari 2016;0,026923;0,029337;1
Reksa Dana Batavia Dana Saham;Maret 2016;0,012610;0,011176;1
Reksa Dana Batavia Dana Saham;April 2016;-0,003808;-0,005822;0
Reksa Dana Batavia Dana Saham;Mei 2016;-0,004075;-0,013041;0
Reksa Dana Batavia Dana Saham;Juni 2016;0,040817;0,041397;1
Reksa Dana Batavia Dana Saham;Juli 2016;0,035982;0,035315;1
Reksa Dana Batavia Dana Saham;Agustus 2016;0,009661;0,028173;1
Reksa Dana Batavia Dana Saham;September 2016;-0,011523;-0,008357;0
Reksa Dana Batavia Dana Saham;Oktober 2016;0,003745;0,006342;1
Reksa Dana Batavia Dana Saham;November 2016;-0,085140;-0,054882;0
Reksa Dana Batavia Dana Saham;Desember 2016;0,015885;0,024284;1
Reksa Dana Batavia Dana Saham;Januari 2017;-0,006588;-0,004914;0
Reksa Dana Batavia Dana Saham;Februari 2017;0,009933;0,013068;1
Reksa Dana Batavia Dana Saham;Maret 2017;0,021467;0,029258;1
Reksa Dana Batavia Dana Saham;April 2017;0,014089;0,016626;1
Reksa Dana Batavia Dana Saham;Mei 2017;0,012176;0,004875;1
Reksa Dana Batavia Dana Saham;Juni 2017;0,011477;0,011536;1
Reksa Dana Batavia Dana Saham;Juli 2017;-0,004318;-0,002494;0
Reksa Dana Batavia Dana Saham;Agustus 2017;-0,004516;-0,000463;0
Reksa Dana Batavia Dana Saham;September 2017;-0,000495;0,001853;1
Reksa Dana Batavia Dana Saham;Oktober 2017;0,005963;0,013361;1
Reksa Dana Batavia Dana Saham;November 2017;0,003839;-0,013352;0
Reksa Dana Batavia Dana Saham;Desember 2017;0,063103;0,063372;1
Reksa Dana Batavia Dana Saham;Januari 2018;0,049144;0,034911;1
Reksa Dana Batavia Dana Saham;Februari 2018;-0,001555;-0,005694;0
Reksa Dana Batavia Dana Saham;Maret 2018;-0,080467;-0,066300;0
Reksa Dana Batavia Dana Saham;April 2018;-0,025231;-0,035830;0
Reksa Dana Batavia Dana Saham;Mei 2018;0,010922;-0,006257;0
Reksa Dana Batavia Dana Saham;Juni 2018;-0,033642;-0,035230;0
