waktu,username,text;
2022-02-13 12:16:02+00:00,Hardi Ramadhan,b'RT Anak Jaksel kalo ada fitur review resto di GrabFood Jujurly the tofu gejrot itu unch banget Spicy nya tuh pas ga bikin my';
2022-02-13 12:15:19+00:00,Novitasari 🦋,b'Habit scroll scroll makanan di shopeefood grabfood amp Gojek dan berakhir tidak beli apa apa';
2022-02-13 12:13:06+00:00,@Nw_gondrong373c,b'RT Diskon Kilat Februari GrabFood hemat s d 90 diskon 50 seharian Paket Berduaan yang bisa digabung diskon s d Rp50rb Janga';
2022-02-13 12:12:38+00:00,Dila 💚,b'Baru nyoba beberapa hari lalu Durum haus Berlin tapi baru ada di Tebet amp Jatibening kayaknya grabfo';
2022-02-13 12:12:35+00:00,Juyojuyojuyo,b'Weh dah la tak makan langsung harini jalan kaki pegi hospital pastu kaki sakit dari bulan lepas pastu order grab';
2022-02-13 12:11:28+00:00,Zeneca Z.,b'Kenapa hujan nak order grabfood kang rasa bersalah pulak hshshshhshss';
2022-02-13 12:09:23+00:00,Single Fighter,b'Menanti grabfood';
2022-02-13 12:09:16+00:00,surinotsori,b'order grabfood skrg ko gabisa liat driver udh nganterin sampe mana yaa jd berasa diphpin';
2022-02-13 12:08:56+00:00,tralalatrilili,b'grabfood maksudnya';
2022-02-13 12:07:48+00:00,tanya topo tentang simpanan emas patuh syariah,b'Beli guna grabfood Tengah hari tadi dia promo 1 tu RM9 lebih ke Then guna kupon HOTDEALS dapat diskaun 50 min order RM25 Berbaloi baloi';
2022-02-13 12:06:35+00:00,𝐉𝐮𝐥,b'ga perlu coklat yg penting voucher diskon grabfood sj sudah cukup';
2022-02-13 12:03:07+00:00,kika,b'wajib bawa bekel atau engga boleh grabfood';
2022-02-13 12:02:34+00:00,sampai kapan?,b'RT Kabar gembira untuk kita semuaaa sekarang udah bisa tulis review di GrabFood lho Ga cuma pakai bintang aja Ditambah l';
2022-02-13 12:00:20+00:00,nanda,b'RT Anak Jaksel kalo ada fitur review resto di GrabFood Jujurly the tofu gejrot itu unch banget Spicy nya tuh pas ga bikin my';
2022-02-13 12:00:01+00:00,Si Paling Grab,b'Kabar gembira untuk kita semuaaa sekarang udah bisa tulis review di GrabFood lho Ga cuma pakai bintang aja';
2022-02-13 11:57:26+00:00,medi,b'abis grabfood jiwatoast lg';
2022-02-13 11:56:07+00:00,Blue Parrot,b'Yawlo kaget kegocek gambar di Grabfood jauh sekali nangisssssss';
