Reksa Dana;Bulan;Y;X1;X2
Reksa Dana BNP Paribas Maxi Saham;Agustus 2020;0,022413;0,176314;0,031087
Reksa Dana BNP Paribas Maxi Saham;September 2020;-0,116899;-0,201361;0,040546
Reksa Dana BNP Paribas Maxi Saham;Oktober 2020;0,061170;0,049853;0,002485
Reksa Dana BNP Paribas Maxi Saham;November 2020;0,110950;0,091254;0,008327
Reksa Dana BNP Paribas Maxi Saham;Desember 2020;0,059788;0,062165;0,003865
Reksa Dana BNP Paribas Maxi Saham;Januari 2021;-0,037639;-0,022684;0,000515
Reksa Dana BNP Paribas Maxi Saham;Februari 2021;0,020942;0,061564;0,003790
Reksa Dana BNP Paribas Maxi Saham;Maret 2021;-0,046241;-0,044222;0,001956
Reksa Dana BNP Paribas Maxi Saham;April 2021;-0,004465;-0,001475;0,000002
Reksa Dana BNP Paribas Maxi Saham;Mei 2021;-0,011378;-0,011195;0,000125
Reksa Dana BNP Paribas Maxi Saham;Juni 2021;-0,041765;0,003231;0,000010
Reksa Dana BNP Paribas Maxi Saham;Juli 2021;-0,009014;0,010963;0,000120
Reksa Dana BNP Paribas Maxi Saham;Agustus 2021;0,033184;0,010059;0,000101
Reksa Dana BNP Paribas Maxi Saham;September 2021;0,027306;0,019054;0,000363
Reksa Dana BNP Paribas Maxi Saham;Oktober 2021;0,026626;0,045257;0,002048
Reksa Dana BNP Paribas Maxi Saham;November 2021;-0,029493;-0,011874;0,000141
Reksa Dana BNP Paribas Maxi Saham;Desember 2021;-0,008077;0,004115;0,000017
Reksa Dana BNP Paribas Pesona;Maret 2020;-0,220346;-0,170744;0,029154
Reksa Dana BNP Paribas Pesona;April 2020;0,036501;0,035937;0,001291
Reksa Dana BNP Paribas Pesona;Mei 2020;0,016202;0,004727;0,000022
Reksa Dana BNP Paribas Pesona;Juni 2020;0,049392;0,028767;0,000828
Reksa Dana BNP Paribas Pesona;Juli 2020;0,044456;0,046627;0,002174
Reksa Dana BNP Paribas Pesona;Agustus 2020;0,020268;0,176314;0,031087
Reksa Dana BNP Paribas Pesona;September 2020;-0,095523;-0,201361;0,040546
Reksa Dana BNP Paribas Pesona;Oktober 2020;0,054082;0,049853;0,002485
Reksa Dana BNP Paribas Pesona;November 2020;0,109669;0,091254;0,008327
Reksa Dana BNP Paribas Pesona;Desember 2020;0,061266;0,062165;0,003865
Reksa Dana BNP Paribas Pesona;Januari 2021;-0,027831;-0,022684;0,000515
Reksa Dana BNP Paribas Pesona;Februari 2021;0,033973;0,061564;0,003790
Reksa Dana BNP Paribas Pesona;Maret 2021;-0,049643;-0,044222;0,001956
Reksa Dana BNP Paribas Pesona;April 2021;0,010145;-0,001475;0,000002
Reksa Dana BNP Paribas Pesona;Mei 2021;-0,008621;-0,011195;0,000125
Reksa Dana BNP Paribas Pesona;Juni 2021;-0,024300;0,003231;0,000010
Reksa Dana BNP Paribas Pesona;Juli 2021;-0,003195;0,010963;0,000120
Reksa Dana BNP Paribas Pesona;Agustus 2021;0,022104;0,010059;0,000101
Reksa Dana BNP Paribas Pesona;September 2021;0,016805;0,019054;0,000363
Reksa Dana BNP Paribas Pesona;Oktober 2021;0,028833;0,045257;0,002048
Reksa Dana BNP Paribas Pesona;November 2021;-0,031750;-0,011874;0,000141
Reksa Dana BNP Paribas Pesona;Desember 2021;-0,003090;0,004115;0,000017
Reksa Dana Cipta Gtws Equity;Maret 2020;-0,206498;-0,170744;0,029154
Reksa Dana Cipta Gtws Equity;April 2020;0,048425;0,035937;0,001291
Reksa Dana Cipta Gtws Equity;Mei 2020;0,013935;0,004727;0,000022
Reksa Dana Cipta Gtws Equity;Juni 2020;0,043501;0,028767;0,000828
Reksa Dana Cipta Gtws Equity;Juli 2020;0,050020;0,046627;0,002174
Reksa Dana Cipta Gtws Equity;Agustus 2020;0,022165;0,176314;0,031087
Reksa Dana Cipta Gtws Equity;September 2020;-0,094642;-0,201361;0,040546
Reksa Dana Cipta Gtws Equity;Oktober 2020;0,065844;0,049853;0,002485
Reksa Dana Cipta Gtws Equity;November 2020;0,106016;0,091254;0,008327
Reksa Dana Cipta Gtws Equity;Desember 2020;0,031509;0,062165;0,003865
Reksa Dana Cipta Gtws Equity;Januari 2021;-0,021147;-0,022684;0,000515
