Reksa Dana;Bulan;Y;X1;X2
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Agustus 2020;0.01;0.18;1.00
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;September 2020;-0.10;-0.20;0.00
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Oktober 2020;0.06;0.05;1.00
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;November 2020;0.10;0.09;1.00
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Desember 2020;0.04;0.06;1.00
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Januari 2021;-0.04;-0.02;0.00
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Februari 2021;0.01;0.06;1.00
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Maret 2021;-0.04;-0.04;0.00
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;April 2021;0.01;0.00;0.00
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Mei 2021;-0.01;-0.01;0.00
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Juni 2021;-0.05;0.00;1.00
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Juli 2021;-0.03;0.01;1.00
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Agustus 2021;0.04;0.01;1.00
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;September 2021;0.03;0.02;1.00
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Oktober 2021;0.06;0.05;1.00
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;November 2021;-0.03;-0.01;0.00
Reksa Dana BNI AM Dana Saham Inspiring Equity Fund;Desember 2021;-0.01;0.00;1.00
Reksa Dana BNP Paribas Ekuitas;Maret 2020;-0.22;-0.17;0.00
Reksa Dana BNP Paribas Ekuitas;April 2020;0.03;0.04;1.00
Reksa Dana BNP Paribas Ekuitas;Mei 2020;0.01;0.00;1.00
Reksa Dana BNP Paribas Ekuitas;Juni 2020;0.05;0.03;1.00
Reksa Dana BNP Paribas Ekuitas;Juli 2020;0.05;0.05;1.00
Reksa Dana BNP Paribas Ekuitas;Agustus 2020;0.03;0.18;1.00
Reksa Dana BNP Paribas Ekuitas;September 2020;-0.09;-0.20;0.00
Reksa Dana BNP Paribas Ekuitas;Oktober 2020;0.06;0.05;1.00
Reksa Dana BNP Paribas Ekuitas;November 2020;0.12;0.09;1.00
Reksa Dana BNP Paribas Ekuitas;Desember 2020;0.05;0.06;1.00
Reksa Dana BNP Paribas Ekuitas;Januari 2021;-0.03;-0.02;0.00
Reksa Dana BNP Paribas Ekuitas;Februari 2021;0.03;0.06;1.00
Reksa Dana BNP Paribas Ekuitas;Maret 2021;-0.05;-0.04;0.00
Reksa Dana BNP Paribas Ekuitas;April 2021;0.00;0.00;0.00
Reksa Dana BNP Paribas Ekuitas;Mei 2021;-0.01;-0.01;0.00
Reksa Dana BNP Paribas Ekuitas;Juni 2021;-0.04;0.00;1.00
Reksa Dana BNP Paribas Ekuitas;Juli 2021;-0.01;0.01;1.00
Reksa Dana BNP Paribas Ekuitas;Agustus 2021;0.03;0.01;1.00
Reksa Dana BNP Paribas Ekuitas;September 2021;0.02;0.02;1.00
Reksa Dana BNP Paribas Ekuitas;Oktober 2021;0.04;0.05;1.00
Reksa Dana BNP Paribas Ekuitas;November 2021;-0.03;-0.01;0.00
Reksa Dana BNP Paribas Ekuitas;Desember 2021;-0.01;0.00;1.00
Reksa Dana BNP Paribas Infrastruktur Plus;Maret 2020;-0.23;-0.17;0.00
Reksa Dana BNP Paribas Infrastruktur Plus;April 2020;0.02;0.04;1.00
Reksa Dana BNP Paribas Infrastruktur Plus;Mei 2020;0.03;0.00;1.00
Reksa Dana BNP Paribas Infrastruktur Plus;Juni 2020;0.06;0.03;1.00
Reksa Dana BNP Paribas Infrastruktur Plus;Juli 2020;0.04;0.05;1.00
Reksa Dana BNP Paribas Infrastruktur Plus;Agustus 2020;0.03;0.18;1.00
Reksa Dana BNP Paribas Infrastruktur Plus;September 2020;-0.11;-0.20;0.00
Reksa Dana BNP Paribas Infrastruktur Plus;Oktober 2020;0.07;0.05;1.00
Reksa Dana BNP Paribas Infrastruktur Plus;November 2020;0.11;0.09;1.00
Reksa Dana BNP Paribas Infrastruktur Plus;Desember 2020;0.05;0.06;1.00
Reksa Dana BNP Paribas Infrastruktur Plus;Januari 2021;-0.03;-0.02;0.00
Reksa Dana BNP Paribas Infrastruktur Plus;Februari 2021;0.03;0.06;1.00
Reksa Dana BNP Paribas Infrastruktur Plus;Maret 2021;-0.05;-0.04;0.00
Reksa Dana BNP Paribas Infrastruktur Plus;April 2021;-0.01;0.00;0.00
