Waktu;Username;Text
2022-02-05 02:33:04+00:00;Fajar Hidayat;b'Nyari makan di gofood hampir sejam ujung ujungnya makan warteg wkwkwk'
2022-02-05 02:33:04+00:00;Fajar Hidayat;b'Nyari makan di gofood hampir sejam ujung ujungnya makan warteg wkwkwk'
2022-02-05 02:33:41+00:00;Isra Mira;b'Admin gofood ja yuk'
2022-02-05 02:33:41+00:00;Isra Mira;b'Admin gofood ja yuk'
2022-02-05 02:35:24+00:00;Ega Julae;b'Duh di ciracas ngga ada di gofood jg ngga adaaa'
2022-02-05 02:35:24+00:00;Ega Julae;b'Duh di ciracas ngga ada di gofood jg ngga adaaa'
2022-02-05 02:37:26+00:00;snoopyjw??;b'tumben banget abang gue gofood in makanan buat orang rumah'
2022-02-05 02:37:26+00:00;snoopyjw??;b'tumben banget abang gue gofood in makanan buat orang rumah'
2022-02-05 02:37:52+00:00;Dea Oktrifani;b'Dari semua momen di tahun 2021, ada satu momen yang paling berkesan yaitu #kejoG2021 #KasihJempol beliin keluarga m\xe2\x80\xa6 https://t.co/6gdebVJ5JY'
2022-02-05 02:37:52+00:00;Dea Oktrifani;b'Dari semua momen di tahun 2021 ada satu momen yang paling berkesan yaitu kejoG2021 KasihJempol beliin keluarga m'
2022-02-05 02:37:52+00:00;Dea Oktrifani;b'Dari semua momen di tahun 2021 ada satu momen yang paling berkesan yaitu kejoG2021 KasihJempol beliin keluarga m'
2022-02-05 02:38:47+00:00;L Olivia (??, ??);b'@IdKalimantan Pengen yang ada di gofood \xf0\x9f\x98\x85\xf0\x9f\x98\x86'
2022-02-05 02:38:47+00:00;L Olivia (??, ??);b'Pengen yang ada di gofood'
2022-02-05 02:38:47+00:00;L Olivia (??, ??);b'Pengen yang ada di gofood'
2022-02-05 02:40:42+00:00;? ???;b'Mau voucher gofood yang bisa cek harga dulu dongg. #zonauang #zonaba'
2022-02-05 02:40:42+00:00;? ???;b'Mau voucher gofood yang bisa cek harga dulu dongg zonauang zonaba'
2022-02-05 02:40:42+00:00;? ???;b'Mau voucher gofood yang bisa cek harga dulu dongg zonauang zonaba'
2022-02-05 02:41:47+00:00;rajamolenrajacenter;b'Dilihatnya aja enak apalagi dimakannya, ayo buruan dibeli keburu kehabisan\n\nBisa juga dipesan lewat Gofood, Grabfoo\xe2\x80\xa6 https://t.co/FjyfOya0br'
2022-02-05 02:41:47+00:00;rajamolenrajacenter;b'Dilihatnya aja enak apalagi dimakannya ayo buruan dibeli keburu kehabisan Bisa juga dipesan lewat Gofood Grabfoo'
2022-02-05 02:41:47+00:00;rajamolenrajacenter;b'Dilihatnya aja enak apalagi dimakannya ayo buruan dibeli keburu kehabisan Bisa juga dipesan lewat Gofood Grabfoo'
2022-02-05 02:42:29+00:00;Bil ??;b'Wts voucher gofood (9x)\n\xf0\x9f\x93\x8c Min pembelian 25k\n\xf0\x9f\x93\x8c Potongan 10k\n#wts #vouchergofood #promo #gofood #zonauang https://t.co/3mgFeyyC6w'
2022-02-05 02:42:29+00:00;Bil ??;b'Wts voucher gofood 9x Min pembelian 25k Potongan 10k wts vouchergofood promo gofood zonauang'
2022-02-05 02:42:29+00:00;Bil ??;b'Wts voucher gofood 9x Min pembelian 25k Potongan 10k wts vouchergofood promo gofood zonauang'
2022-02-05 02:43:44+00:00;Kpopers Cempaka Putih;b'\xf0\x9f\x92\x97HAPPY JIHYO DAY\xf0\x9f\x92\x97\n\nAnnyeong chingudeul! bundling cantik Jihyo Twice sudah ready ya di Kopi Chuseyo Cempaka Putih \xf0\x9f\x98\x8d\xf0\x9f\xa5\xb0\xe2\x80\xa6 https://t.co/kiorTbpEo8'
2022-02-05 02:43:44+00:00;Kpopers Cempaka Putih;b'HAPPY JIHYO DAY Annyeong chingudeul bundling cantik Jihyo Twice sudah ready ya di Kopi Chuseyo Cempaka Putih'
2022-02-05 02:43:44+00:00;Kpopers Cempaka Putih;b'HAPPY JIHYO DAY Annyeong chingudeul bundling cantik Jihyo Twice sudah ready ya di Kopi Chuseyo Cempaka Putih'
2022-02-05 02:45:15+00:00;trxtxdng;b'@RacunBelanja Gofood promo paylater nya gede2,nyarinya yg gratisan biar ga kena biaya paylater \xf0\x9f\x98\x83 https://t.co/i0PORhwGRp'
2022-02-05 02:45:15+00:00;trxtxdng;b'Gofood promo paylater nya gede2 nyarinya yg gratisan biar ga kena biaya paylater'
2022-02-05 02:45:15+00:00;trxtxdng;b'Gofood promo paylater nya gede2 nyarinya yg gratisan biar ga kena biaya paylater'
2022-02-05 02:46:06+00:00;ay;b'@gojekindonesia voucher 25k ilang, voc gocar ilang, buka gofood voucher resto ga ada samsek ini kenapa ya?? Tolong direspon makasih'
